day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
3;0;PICNIC_BASKET;73997;2;73996;15;73994;21;74008;2;74009;15;74010;21;74002.5;0.0
3;0;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3094.0;0.0
3;0;BERRIES;3905;15;3904;42;;;3912;15;3913;42;;;3908.5;0.0
3;0;BAGUETTE;12381;43;12380;95;;;12383;138;;;;;12382.0;0.0
3;0;PEARLS;9996;2;9995;26;;;10004;2;10005;26;;;10000.0;0.0
3;0;DIVING_GEAR;100187;23;;;;;100190;23;;;;;100188.5;0.0
3;0;PINA_COLADAS;14849;33;14848;52;;;14850;39;14852;85;;;14849.5;0.0
3;0;COCONUTS;7912;49;7911;136;;;7914;185;;;;;7913.0;0.0
3;0;DIP;7020;272;;;;;7022;272;;;;;7021.0;0.0
3;0;UKULELE;20697;21;20696;32;;;20698;53;;;;;20697.5;0.0
3;0;BANANAS;4792;28;;;;;4798;2;4799;26;;;4795.0;0.0
3;100;PINA_COLADAS;14849;109;;;;;14852;109;;;;;14850.5;0.0
3;100;DIP;7019;155;;;;;7021;155;;;;;7020.0;0.0
3;100;PICNIC_BASKET;73984;1;73983;18;73982;20;73995;1;73996;18;73998;20;73989.5;0.0
3;100;PEARLS;9996;1;9995;25;;;9998;1;10002;8;10004;1;9997.0;0.0
3;100;DIVING_GEAR;100194;10;100193;18;;;100196;10;100197;18;;;100195.0;0.0
3;100;BERRIES;3905;18;3904;59;;;3912;77;;;;;3908.5;0.0
3;100;COCONUTS;7912;143;;;;;7915;143;;;;;7913.5;0.0
3;100;UKULELE;20695;65;;;;;20697;65;;;;;20696.0;0.0
3;100;BAGUETTE;12385;104;;;;;12387;54;12388;50;;;12386.0;0.0
3;100;BANANAS;4795;4;4792;26;;;4797;8;4798;1;4799;25;4796.0;0.0
3;100;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3094.0;0.0
3;200;PEARLS;9995;21;;;;;10005;21;;;;;10000.0;2.0
3;200;DIVING_GEAR;100200;20;;;;;100203;20;;;;;100201.5;0.0
3;200;PINA_COLADAS;14849;84;;;;;14852;84;;;;;14850.5;0.0
3;200;COCONUTS;7912;67;7911;105;;;7914;172;;;;;7913.0;0.0
3;200;DIP;7018;70;7017;166;;;7020;236;;;;;7019.0;0.0
3;200;UKULELE;20696;71;;;;;20697;26;20698;45;;;20696.5;0.0
3;200;BANANAS;4792;21;;;;;4799;21;;;;;4795.5;-2.009765625
3;200;PICNIC_BASKET;74001;15;74000;26;;;74015;15;74016;26;;;74008.0;0.0
3;200;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3094.0;0.0
3;200;BERRIES;3905;15;3904;41;;;3912;15;3913;41;;;3908.5;0.0
3;200;BAGUETTE;12383;114;;;;;12385;114;;;;;12384.0;0.0
3;300;COCONUTS;7912;156;;;;;7915;156;;;;;7913.5;0.0
3;300;BERRIES;3905;13;3904;56;;;3911;13;3912;56;;;3908.0;0.0
3;300;UKULELE;20696;65;;;;;20698;65;;;;;20697.0;0.0
3;300;BAGUETTE;12385;51;12384;80;;;12387;131;;;;;12386.0;0.0
3;300;BANANAS;4793;1;4792;26;;;4799;27;;;;;4796.0;-3.2890625
3;300;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3094.0;0.0
3;300;PINA_COLADAS;14852;25;14851;55;;;14854;25;14855;55;;;14853.0;0.0
3;300;DIP;7017;189;;;;;7019;189;;;;;7018.0;0.0
3;300;PEARLS;9996;1;9995;26;;;10004;1;10005;26;;;10000.0;2.0
3;300;DIVING_GEAR;100204;19;;;;;100207;19;;;;;100205.5;0.0
3;300;PICNIC_BASKET;74006;1;74005;13;74004;27;74018;1;74019;13;74020;27;74012.0;0.0
3;400;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3093.0;0.0
3;400;PICNIC_BASKET;74014;18;74013;18;;;74028;18;74029;18;;;74021.0;0.0
3;400;BERRIES;3905;18;3904;54;;;3912;18;3913;54;;;3908.5;0.0
3;400;BAGUETTE;12388;54;12387;80;;;12390;134;;;;;12389.0;0.0
3;400;PEARLS;9995;28;;;;;10005;28;;;;;10000.0;2.0
3;400;DIVING_GEAR;100211;28;;;;;100214;28;;;;;100212.5;0.0
3;400;PINA_COLADAS;14852;26;14851;68;;;14854;26;14855;68;;;14853.0;0.0
3;400;COCONUTS;7911;200;;;;;7914;200;;;;;7912.5;0.0
3;400;DIP;7019;80;7018;127;;;7020;80;7021;127;;;7019.5;0.0
3;400;UKULELE;20696;18;20695;38;;;20697;18;20698;38;;;20696.5;0.0
3;400;BANANAS;4798;1;4792;28;;;4799;28;;;;;4798.5;-3.5
3;500;PINA_COLADAS;14854;36;14853;67;;;14857;103;;;;;14855.5;0.0
3;500;DIP;7018;239;;;;;7020;239;;;;;7019.0;0.0
3;500;PEARLS;10002;6;9995;25;;;10005;25;;;;;10003.5;2.0
3;500;DIVING_GEAR;100210;24;;;;;100213;24;;;;;100211.5;0.0
3;500;PICNIC_BASKET;74009;19;74008;24;;;74023;19;74024;24;;;74016.0;0.0
3;500;COCONUTS;7912;155;;;;;7914;48;7915;107;;;7913.0;0.0
3;500;BERRIES;3905;19;3904;47;;;3912;19;3913;47;;;3908.5;0.0
3;500;UKULELE;20696;24;20695;46;;;20697;70;;;;;20696.5;0.0
3;500;BAGUETTE;12384;120;;;;;12385;10;12386;45;12387;75;12384.5;0.0
3;500;BANANAS;4798;9;4793;25;;;4800;25;;;;;4799.0;-4.4921875
3;500;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3093.0;0.0
3;600;PEARLS;9996;1;9995;29;;;10004;1;10005;29;;;10000.0;14.0
