day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
1;0;PINA_COLADAS;15013;36;15012;52;;;15016;88;;;;;15014.5;0.0
1;0;BANANAS;4871;3;4870;22;;;4877;22;;;;;4874.0;0.0
1;0;COCONUTS;8003;214;;;;;8006;214;;;;;8004.5;0.0
1;0;PEARLS;9998;3;9996;1;9995;21;10004;1;10005;21;;;10001.0;0.0
1;100;BANANAS;4871;3;4870;48;;;4877;48;;;;;4874.0;0.0
1;100;COCONUTS;8003;258;8002;106;;;8005;150;8006;214;;;8004.0;0.0
1;100;PINA_COLADAS;15012;52;15011;40;15010;58;15013;4;15014;58;15016;88;15012.5;0.0
1;100;PEARLS;9998;2;9996;1;9995;47;10004;1;10005;47;;;10001.0;0.0
1;200;BANANAS;4875;1;4871;3;4870;80;4876;32;4877;48;;;4875.5;0.0
1;200;PEARLS;9998;1;9996;3;9995;77;10004;3;10005;77;;;10001.0;0.0
1;200;COCONUTS;8003;449;8002;106;;;8005;205;8006;350;;;8004.0;0.0
1;200;PINA_COLADAS;15015;12;15012;52;15011;40;15016;88;15018;74;;;15015.5;0.0
1;300;BANANAS;4871;3;4870;80;4868;28;4875;28;4876;32;4877;48;4873.0;0.0
1;300;PINA_COLADAS;15015;12;15014;90;15012;52;15016;88;15017;90;15018;74;15015.5;0.0
1;300;PEARLS;9996;4;9995;104;;;10004;4;10005;104;;;10000.0;0.0
1;300;COCONUTS;8004;61;8003;556;8002;106;8005;205;8006;518;;;8004.5;0.0
1;400;PINA_COLADAS;15014;90;15012;146;15011;40;15015;82;15016;88;15017;90;15014.5;0.0
1;400;BANANAS;4870;78;4869;25;4868;28;4875;53;4876;32;4877;48;4872.5;0.0
1;400;PEARLS;9996;4;9995;129;;;10004;4;10005;129;;;10000.0;0.0
1;400;COCONUTS;8004;61;8003;556;8002;287;8005;386;8006;518;;;8004.5;0.0
1;500;BANANAS;4869;22;;;;;4876;22;;;;;4872.5;0.0
1;500;PINA_COLADAS;15008;107;;;;;15011;37;15012;70;;;15009.5;0.0
1;500;PEARLS;9995;22;;;;;10005;22;;;;;10000.0;0.0
1;500;COCONUTS;8001;196;;;;;8002;57;8004;196;;;8001.5;100.5625
1;600;BANANAS;4868;25;;;;;4875;25;;;;;4871.5;0.0
1;600;PEARLS;9995;25;;;;;10005;25;;;;;10000.0;0.0
1;600;COCONUTS;8000;199;;;;;8002;57;8003;142;;;8001.0;177.40625
1;600;PINA_COLADAS;15006;90;;;;;15009;90;;;;;15007.5;0.0
1;700;BANANAS;4868;23;;;;;4875;23;;;;;4871.5;0.0
1;700;PINA_COLADAS;15007;106;;;;;15010;106;;;;;15008.5;0.0
1;700;PEARLS;9995;23;;;;;9998;9;10005;23;;;9996.5;0.0
1;700;COCONUTS;8000;45;7999;116;;;8002;161;;;;;8001.0;185.5625
1;800;PINA_COLADAS;15009;31;15008;53;;;15011;31;15012;53;;;15010.0;0.0
1;800;PEARLS;9996;1;9995;27;;;10004;1;10005;27;;;10000.0;18.0
1;800;COCONUTS;7999;191;;;;;8000;50;8002;191;;;7999.5;206.28125
1;800;BANANAS;4873;3;4869;1;4868;27;4875;28;;;;;4874.0;0.0
1;900;BANANAS;4871;1;4868;21;;;4875;21;;;;;4873.0;0.0
1;900;PINA_COLADAS;15005;85;;;;;15008;25;15009;60;;;15006.5;0.0
1;900;PEARLS;9995;21;;;;;10005;21;;;;;10000.0;18.0
1;900;COCONUTS;7999;45;7998;130;;;8001;175;;;;;8000.0;245.0
1;1000;PEARLS;10002;2;9996;2;9995;28;10004;2;10005;28;;;10003.0;18.0
1;1000;COCONUTS;7999;201;;;;;8002;201;;;;;8000.5;207.03125
1;1000;BANANAS;4868;30;;;;;4875;30;;;;;4871.5;0.0
1;1000;PINA_COLADAS;15007;38;15006;51;;;15008;38;15009;38;15010;51;15007.5;0.0
1;1100;BANANAS;4868;30;;;;;4875;30;;;;;4871.5;0.0
1;1100;PEARLS;9996;2;9995;28;;;10004;2;10005;28;;;10000.0;22.0
1;1100;COCONUTS;7999;162;;;;;8002;162;;;;;8000.5;198.8125
1;1100;PINA_COLADAS;15004;38;15003;73;;;15006;38;15007;73;;;15005.0;0.0
1;1200;PINA_COLADAS;15003;92;;;;;15006;92;;;;;15004.5;0.0
1;1200;PEARLS;9996;1;9995;28;;;10004;1;10005;28;;;10000.0;22.0
1;1200;COCONUTS;8000;186;;;;;8003;186;;;;;8001.5;169.5625
1;1200;BANANAS;4868;28;;;;;4874;1;4875;28;;;4871.0;0.0
1;1300;BANANAS;4867;23;;;;;4872;7;4874;23;;;4869.5;0.0
1;1300;COCONUTS;7998;186;;;;;8001;186;;;;;7999.5;282.34375
1;1300;PEARLS;9995;23;;;;;9998;1;10002;7;10005;23;9996.5;22.0
1;1300;PINA_COLADAS;14998;109;;;;;15001;109;;;;;14999.5;0.0
1;1400;COCONUTS;7997;182;;;;;8000;182;;;;;7998.5;338.09375
1;1400;PEARLS;9996;2;9995;24;;;10002;4;10004;2;10005;24;9999.0;24.0
1;1400;BANANAS;4869;2;4868;24;;;4873;4;4875;26;;;4871.0;0.0
