day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
1;0;PINA_COLADAS;15013;36;15012;52;;;15016;88;;;;;15014.5;0.0
1;0;BANANAS;4871;3;4870;22;;;4877;22;;;;;4874.0;0.0
1;0;COCONUTS;8003;214;;;;;8006;214;;;;;8004.5;0.0
1;0;PEARLS;9998;3;9996;1;9995;21;10004;1;10005;21;;;10001.0;0.0
1;100;BANANAS;4870;26;;;;;4877;26;;;;;4873.5;0.0
1;100;COCONUTS;8003;44;8002;106;;;8005;150;;;;;8004.0;0.0
1;100;PINA_COLADAS;15011;40;15010;58;;;15013;40;15014;58;;;15012.0;0.0
1;100;PEARLS;9995;26;;;;;9998;1;10005;26;;;9996.5;0.0
1;200;BANANAS;4875;1;4870;32;;;4876;32;;;;;4875.5;0.0
1;200;PEARLS;9996;2;9995;30;;;9998;1;10004;2;10005;30;9997.0;2.0
1;200;COCONUTS;8003;191;;;;;8005;55;8006;136;;;8004.0;-50.5
1;200;PINA_COLADAS;15015;23;15014;51;;;15018;74;;;;;15016.5;126.0
1;300;BANANAS;4868;28;;;;;4869;1;4875;28;;;4868.5;3.53173828125
1;300;PINA_COLADAS;15014;90;;;;;15017;90;;;;;15015.5;100.1875
1;300;PEARLS;9996;1;9995;27;;;9998;1;10004;1;10005;27;9997.0;4.0
1;300;COCONUTS;8004;61;8003;107;;;8006;168;;;;;8005.0;-90.1875
1;400;PINA_COLADAS;15012;94;;;;;15015;94;;;;;15013.5;25.0625
1;400;BANANAS;4869;25;;;;;4870;5;4875;25;;;4869.5;6.0
1;400;PEARLS;9995;25;;;;;10005;25;;;;;10000.0;6.0
1;400;COCONUTS;8002;181;;;;;8005;181;;;;;8003.5;-103.0234375
1;500;BANANAS;4869;22;;;;;4876;22;;;;;4872.5;16.595703125
1;500;PINA_COLADAS;15008;107;;;;;15011;37;15012;70;;;15009.5;-126.875
1;500;PEARLS;9995;22;;;;;10005;22;;;;;10000.0;6.0
1;500;COCONUTS;8001;196;;;;;8002;57;8004;196;;;8001.5;-117.1328125
1;600;BANANAS;4868;25;;;;;4875;25;;;;;4871.5;20.9306640625
1;600;PEARLS;9995;25;;;;;10005;25;;;;;10000.0;6.0
1;600;COCONUTS;8000;199;;;;;8002;57;8003;142;;;8001.0;-130.9921875
1;600;PINA_COLADAS;15006;90;;;;;15009;90;;;;;15007.5;-215.8125
1;700;BANANAS;4868;23;;;;;4875;23;;;;;4871.5;20.5966796875
1;700;PINA_COLADAS;15007;106;;;;;15010;106;;;;;15008.5;-187.5
1;700;PEARLS;9995;23;;;;;9998;9;10005;23;;;9996.5;6.0
1;700;COCONUTS;8000;45;7999;116;;;8002;161;;;;;8001.0;-323.125
1;800;PINA_COLADAS;15009;31;15008;53;;;15011;31;15012;53;;;15010.0;-116.75
1;800;PEARLS;9996;1;9995;27;;;10004;1;10005;27;;;10000.0;24.0
1;800;COCONUTS;7999;191;;;;;8000;50;8002;191;;;7999.5;-259.25
1;800;BANANAS;4873;3;4869;1;4868;27;4875;28;;;;;4874.0;21.7158203125
1;900;BANANAS;4871;1;4868;21;;;4875;21;;;;;4873.0;21.09375
1;900;PINA_COLADAS;15005;85;;;;;15008;25;15009;60;;;15006.5;-179.640625
1;900;PEARLS;9995;21;;;;;10005;21;;;;;10000.0;24.0
1;900;COCONUTS;7999;45;7998;130;;;8001;175;;;;;8000.0;-140.75
1;1000;PEARLS;10002;2;9996;2;9995;28;10004;2;10005;28;;;10003.0;24.0
1;1000;COCONUTS;7999;201;;;;;8002;201;;;;;8000.5;-226.625
1;1000;BANANAS;4868;30;;;;;4875;30;;;;;4871.5;20.33203125
1;1000;PINA_COLADAS;15007;38;15006;51;;;15008;38;15009;38;15010;51;15007.5;-168.953125
1;1100;BANANAS;4868;30;;;;;4875;30;;;;;4871.5;20.517578125
1;1100;PEARLS;9996;2;9995;28;;;10004;2;10005;28;;;10000.0;28.0
1;1100;COCONUTS;7999;162;;;;;8002;162;;;;;8000.5;-245.25
1;1100;PINA_COLADAS;15004;38;15003;73;;;15006;38;15007;73;;;15005.0;-178.0
1;1200;PINA_COLADAS;15003;92;;;;;15006;92;;;;;15004.5;-228.4375
1;1200;PEARLS;9996;1;9995;28;;;10004;1;10005;28;;;10000.0;28.0
1;1200;COCONUTS;8000;186;;;;;8003;186;;;;;8001.5;-311.375
1;1200;BANANAS;4868;28;;;;;4874;1;4875;28;;;4871.0;19.66796875
1;1300;BANANAS;4867;23;;;;;4872;7;4874;23;;;4869.5;18.6806640625
1;1300;COCONUTS;7998;186;;;;;8001;186;;;;;7999.5;-56.25
1;1300;PEARLS;9995;23;;;;;9998;1;10002;7;10005;23;9996.5;28.0
1;1300;PINA_COLADAS;14998;109;;;;;15001;109;;;;;14999.5;-432.3125
1;1400;COCONUTS;7997;182;;;;;8000;182;;;;;7998.5;69.875
1;1400;PEARLS;9996;2;9995;24;;;10002;4;10004;2;10005;24;9999.0;30.0
1;1400;BANANAS;4869;2;4868;24;;;4873;4;4875;26;;;4871.0;21.6572265625
1;1400;PINA_COLADAS;14997;32;14996;59;;;14999;32;15000;59;;;14998.0;-478.875
