day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
2;0;PEARLS;9996;2;9995;25;;;10004;2;10005;25;;;10000.0;0.0
2;0;BANANAS;4821;27;;;;;4827;27;;;;;4824.0;0.0
2;0;DIVING_GEAR;99191;21;;;;;99194;21;;;;;99192.5;0.0
2;0;COCONUTS;7923;209;;;;;7924;57;7925;61;7926;148;7923.5;0.0
2;0;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3076.0;0.0
2;0;PINA_COLADAS;14850;72;;;;;14853;72;;;;;14851.5;0.0
2;0;BERRIES;3847;66;;;;;3854;14;3855;52;;;3850.5;0.0
2;100;BERRIES;3847;10;3846;48;;;3854;10;3855;48;;;3850.5;0.0
2;100;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3076.0;0.0
2;100;PEARLS;9996;2;9995;28;;;9998;1;10004;2;10005;28;9997.0;0.0
2;100;BANANAS;4821;30;;;;;4827;30;;;;;4824.0;0.0
2;100;COCONUTS;7924;171;;;;;7927;171;;;;;7925.5;0.0
2;100;DIVING_GEAR;99198;8;99197;10;;;99200;8;99201;10;;;99199.0;0.0
2;100;PINA_COLADAS;14853;92;;;;;14856;92;;;;;14854.5;0.0
2;200;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3076.0;0.0
2;200;PINA_COLADAS;14853;83;;;;;14856;83;;;;;14854.5;0.0
2;200;BERRIES;3848;14;3847;55;;;3854;14;3855;55;;;3851.0;0.0
2;200;PEARLS;9995;20;;;;;10005;20;;;;;10000.0;2.0
2;200;BANANAS;4821;20;;;;;4828;20;;;;;4824.5;0.0
2;200;COCONUTS;7924;192;;;;;7926;57;7927;135;;;7925.0;0.0
2;200;DIVING_GEAR;99194;21;;;;;99197;21;;;;;99195.5;0.0
2;300;PEARLS;9996;1;9995;20;;;10004;1;10005;20;;;10000.0;2.0
2;300;BANANAS;4822;21;;;;;4828;1;4829;20;;;4825.0;0.0
2;300;COCONUTS;7925;181;;;;;7928;181;;;;;7926.5;0.0
2;300;DIVING_GEAR;99193;8;99192;19;;;99195;8;99196;19;;;99194.0;0.0
2;300;PINA_COLADAS;14858;101;;;;;14861;101;;;;;14859.5;0.0
2;300;BERRIES;3848;19;3847;44;;;3855;19;3856;44;;;3851.5;0.0
2;300;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3076.0;0.0
2;400;PEARLS;9995;30;;;;;10005;30;;;;;10000.0;2.0
