Time,WAP,Best Bid,Best Ask
210286.6,0.00,0,0
210286.6,0.00,0,0
210286.7,124794.41,124800,124200
210286.7,124792.55,124800,124000
210286.7,124792.55,124800,124000
210286.7,124792.55,124800,124000
210286.7,124133.86,124800,123900
210286.8,124497.69,124500,123800
210286.8,124200.00,124700,123700
210286.8,124596.71,124600,123600
210286.9,124197.19,124800,123600
210286.9,124697.04,124700,123800
210286.9,124742.68,124800,124700
210286.9,124742.68,124800,124700
210287.0,124740.13,124800,124700
210287.0,124740.13,124800,124700
210287.0,124101.90,124700,123500
210287.0,124696.38,124700,123600
210287.1,124400.00,125000,123800
210287.1,124399.01,125000,123800
210287.1,124299.01,124900,123700
210287.1,124100.00,124700,123500
210287.2,124099.01,124700,123500
210287.2,124597.80,124600,123500
210287.2,123703.62,124800,123700
210287.2,124497.04,124500,123600
210287.2,123803.29,124800,123800
210287.3,124497.04,124500,123600
210287.3,123803.29,124800,123800
210287.3,124497.04,124500,123600
210287.4,123802.96,124700,123800
210287.4,124397.37,124400,123600
210287.4,123703.62,124800,123700
210287.4,124497.70,124500,123800
210287.5,124896.72,124900,123900
210287.5,124102.96,125000,124100
210287.5,124697.04,124700,123800
210287.5,124003.29,125000,124000
210287.6,124697.04,124700,123800
210287.6,124002.63,124800,124000
210287.6,123898.18,123900,123600
210287.6,123899.39,123900,123800
210287.7,123899.39,123900,123800
210287.7,123899.39,123900,123800
210287.7,123898.18,123900,123600
210287.7,123898.18,123900,123600
210287.8,123898.18,123900,123600
210287.8,124097.12,124100,123600
210287.8,124026.58,124100,123900
210287.8,124026.58,124100,123900
210287.8,124026.58,124100,123900
210287.9,124026.58,124100,123900
210287.9,123991.59,124100,123900
210287.9,123991.59,124100,123900
210288.0,123991.59,124100,123900
210288.0,123902.92,124500,123900
210288.0,124139.02,124300,123900
210288.0,124198.78,124400,123900
210288.1,124198.78,124400,123900
210288.1,124198.78,124400,123900
210288.1,124198.78,124400,123900
210288.1,124193.75,124400,123900
210288.2,123902.33,124400,123900
210288.2,124076.25,124200,123900
210288.2,123902.80,124500,123900
210288.2,124068.42,124300,123900
210288.3,124068.42,124300,123900
210288.3,124068.42,124300,123900
210288.3,123900.95,124300,123900
210288.3,124026.32,124200,123900
210288.4,123901.20,124400,123900
210288.4,124026.32,124200,123900
210288.4,123901.20,124400,123900
210288.4,124026.32,124200,123900
210288.5,123901.20,124400,123900
210288.5,124026.32,124200,123900
