Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
4e-06,Sunday_1729,Tick,0,0,0,0,,,0,0,0,OK
4e-06,tangilo_330,Tick,0,0,0,0,,,0,0,0,OK
4e-06,BavarianBourseBandits_219000,Tick,0,0,0,0,,,0,0,0,OK
4e-06,AVTraders_2004,Tick,0,0,0,0,,,0,0,0,OK
4e-06,day_day_up_123321,Tick,0,0,0,0,,,0,0,0,OK
4e-06,JeanJacquesPidjacques_120302,Tick,0,0,0,0,,,0,0,0,OK
4e-06,HuntingdonAssasins_271828,Tick,0,0,0,0,,,0,0,0,OK
0.285744,Sunday_1729,Tick,0,0,0,0,126400,,0,0,0,OK
0.285744,tangilo_330,Tick,0,0,0,0,126400,,0,0,0,OK
0.285744,BavarianBourseBandits_219000,Tick,0,0,0,0,126400,,0,0,0,OK
0.285744,AVTraders_2004,Tick,0,1,-1,1,126400,,-13,-87,-87,OK
0.285744,day_day_up_123321,Tick,0,0,0,0,126400,,0,0,0,OK
0.285744,JeanJacquesPidjacques_120302,Tick,0,0,0,0,126400,,0,0,0,OK
0.285744,HuntingdonAssasins_271828,Tick,0,0,0,0,126400,,0,0,0,OK
0.485803,Sunday_1729,Tick,0,0,0,0,126600,,0,0,0,OK
0.485803,tangilo_330,Tick,0,18,-18,0,126600,,-228,2279028,2279028,OK
0.485803,BavarianBourseBandits_219000,Tick,0,30,-30,30,126600,,-379,-621,-621,OK
0.485803,AVTraders_2004,Tick,10,11,-1,1,126600,,113,-213,-213,OK
0.485803,day_day_up_123321,Tick,0,0,0,0,126600,,0,0,0,OK
0.485803,JeanJacquesPidjacques_120302,Tick,0,0,0,0,126600,,0,0,0,OK
0.485803,HuntingdonAssasins_271828,Tick,0,0,0,0,126600,,0,0,0,OK
0.729611,Sunday_1729,Tick,0,0,0,0,126600,,0,0,0,OK
0.729611,tangilo_330,Tick,0,35,-35,35,126600,,202,-202,-202,OK
0.729611,BavarianBourseBandits_219000,Tick,0,30,-30,30,126600,,-379,-621,-621,OK
0.729611,AVTraders_2004,Tick,10,21,-11,11,126600,,366,-466,-466,OK
0.729611,day_day_up_123321,Tick,0,0,0,0,126600,,0,0,0,OK
0.729611,JeanJacquesPidjacques_120302,Tick,0,0,0,0,126600,,0,0,0,OK
0.729611,HuntingdonAssasins_271828,Tick,0,0,0,0,126600,,0,0,0,OK
1.019498,Sunday_1729,Tick,0,0,0,0,126700,,0,0,0,OK
1.019498,tangilo_330,Tick,0,45,-45,35,126700,,455,1266545,1266545,OK
1.019498,BavarianBourseBandits_219000,Tick,0,30,-30,30,126700,,-379,-621,-621,OK
1.019498,AVTraders_2004,Tick,20,21,-1,1,126700,,239,-2339,-2339,OK
1.019498,day_day_up_123321,Tick,0,0,0,0,126700,,0,0,0,OK
1.019498,JeanJacquesPidjacques_120302,Tick,0,0,0,0,126700,,0,0,0,OK
1.019498,HuntingdonAssasins_271828,Tick,0,0,0,0,126700,,0,0,0,OK
1.219854,Sunday_1729,Tick,0,0,0,0,126700,126700,0,0,0,OK
1.219854,tangilo_330,Tick,0,45,-45,35,126700,126700,455,1266545,-455,OK
1.219854,BavarianBourseBandits_219000,Tick,0,30,-30,30,126700,126700,-379,-621,-621,OK
1.219854,AVTraders_2004,Tick,20,21,-1,1,126700,126700,239,-2339,-2339,OK
1.219854,day_day_up_123321,Tick,0,0,0,0,126700,126700,0,0,0,OK
1.219854,JeanJacquesPidjacques_120302,Tick,0,0,0,0,126700,126700,0,0,0,OK
1.219854,HuntingdonAssasins_271828,Tick,0,0,0,0,126700,126700,0,0,0,OK
1.481205,Sunday_1729,Tick,0,0,0,0,126800,126800,0,0,0,OK
1.481205,tangilo_330,Tick,0,54,-54,35,126800,126800,341,2406959,-2241,OK
1.481205,BavarianBourseBandits_219000,Tick,0,31,-31,31,126800,126800,-392,-608,-608,OK
1.481205,AVTraders_2004,Tick,30,21,9,-9,126800,126800,492,-3692,-3692,OK
1.481205,day_day_up_123321,Tick,0,0,0,0,126800,126800,0,0,0,OK
1.481205,JeanJacquesPidjacques_120302,Tick,0,0,0,0,126800,126800,0,0,0,OK
1.481205,HuntingdonAssasins_271828,Tick,0,0,0,0,126800,126800,0,0,0,OK
1.726108,Sunday_1729,Tick,0,0,0,0,127000,126800,0,0,0,OK
1.726108,tangilo_330,Tick,0,67,-67,64,127000,126800,176,368024,-25776,OK
1.726108,BavarianBourseBandits_219000,Tick,0,38,-38,38,127000,126800,-481,-1919,-9519,OK
1.726108,AVTraders_2004,Tick,40,21,19,-19,127000,126800,746,-1946,1854,OK
1.726108,day_day_up_123321,Tick,10,0,10,-10,127000,126800,254,1046,3046,OK
1.726108,JeanJacquesPidjacques_120302,Tick,0,0,0,0,127000,126800,0,0,0,OK
1.726108,HuntingdonAssasins_271828,Tick,0,0,0,0,127000,126800,0,0,0,OK
2.0079,Sunday_1729,Tick,0,0,0,0,127000,126800,0,0,0,OK
2.0079,tangilo_330,Tick,0,67,-67,64,127000,126800,176,368024,-25776,OK
2.0079,BavarianBourseBandits_219000,Tick,0,38,-38,38,127000,126800,-481,-1919,-9519,OK
2.0079,AVTraders_2004,Tick,40,21,19,-19,127000,126800,746,-1946,1854,OK
2.0079,day_day_up_123321,Tick,10,0,10,-10,127000,126800,254,1046,3046,OK
2.0079,JeanJacquesPidjacques_120302,Tick,0,0,0,0,127000,126800,0,0,0,OK
2.0079,HuntingdonAssasins_271828,Tick,0,0,0,0,127000,126800,0,0,0,OK
2.22238,Sunday_1729,Tick,0,0,0,0,127100,126800,0,0,0,OK
2.22238,tangilo_330,Tick,0,67,-67,64,127100,126800,176,368024,-29394,OK
2.22238,BavarianBourseBandits_219000,Tick,0,38,-38,38,127100,126800,-481,-1919,-11571,OK
2.22238,AVTraders_2004,Tick,40,31,9,-9,127100,126800,619,-3819,-1533,OK
2.22238,day_day_up_123321,Tick,20,0,20,-20,127100,126800,508,792,5872,OK
2.22238,JeanJacquesPidjacques_120302,Tick,0,0,0,0,127100,126800,0,0,0,OK
2.22238,HuntingdonAssasins_271828,Tick,0,0,0,0,127100,126800,0,0,0,OK
2.5339,Sunday_1729,Tick,0,0,0,0,127200,126800,0,0,0,OK
2.5339,tangilo_330,Tick,0,67,-67,64,127200,126800,176,368024,-29394,OK
2.5339,BavarianBourseBandits_219000,Tick,0,38,-38,38,127200,126800,-481,-1919,-11571,OK
2.5339,AVTraders_2004,Tick,40,41,-1,1,127200,126800,492,-5692,-5946,OK
2.5339,day_day_up_123321,Tick,30,0,30,-30,127200,126800,762,538,8158,OK
2.5339,JeanJacquesPidjacques_120302,Tick,0,0,0,0,127200,126800,0,0,0,OK
2.5339,HuntingdonAssasins_271828,Tick,0,0,0,0,127200,126800,0,0,0,OK
2.701279,Sunday_1729,Tick,0,0,0,0,127200,126800,0,0,0,OK
2.701279,tangilo_330,Tick,0,67,-67,64,127200,126800,176,368024,-29394,OK
2.701279,BavarianBourseBandits_219000,Tick,0,38,-38,38,127200,126800,-481,-1919,-11571,OK
2.701279,AVTraders_2004,Tick,40,41,-1,1,127200,126800,492,-5692,-5946,OK
2.701279,day_day_up_123321,Tick,30,0,30,-30,127200,126800,762,538,8158,OK
2.701279,JeanJacquesPidjacques_120302,Tick,0,0,0,0,127200,126800,0,0,0,OK
2.701279,HuntingdonAssasins_271828,Tick,0,0,0,0,127200,126800,0,0,0,OK
3.041741,Sunday_1729,Tick,0,0,0,0,127200,127200,0,0,0,OK
3.041741,tangilo_330,Tick,0,67,-67,64,127200,127200,176,368024,-13576,OK
3.041741,BavarianBourseBandits_219000,Tick,0,38,-38,38,127200,127200,-481,-1919,-1919,OK
3.041741,AVTraders_2004,Tick,40,41,-1,1,127200,127200,492,-5692,-5692,OK
3.041741,day_day_up_123321,Tick,30,0,30,-30,127200,127200,762,538,538,OK
3.041741,JeanJacquesPidjacques_120302,Tick,0,0,0,0,127200,127200,0,0,0,OK
3.041741,HuntingdonAssasins_271828,Tick,0,0,0,0,127200,127200,0,0,0,OK
3.239804,Sunday_1729,Tick,0,0,0,0,127400,127200,0,0,0,OK
3.239804,tangilo_330,Tick,0,79,-79,64,127400,127200,482,1896518,-27282,OK
3.239804,BavarianBourseBandits_219000,Tick,0,38,-38,38,127400,127200,-481,-1919,-9519,OK
3.239804,AVTraders_2004,Tick,40,51,-11,11,127400,127200,747,-4947,-7147,OK
3.239804,day_day_up_123321,Tick,30,0,30,-30,127400,127200,762,538,6538,OK
3.239804,JeanJacquesPidjacques_120302,Tick,0,0,0,0,127400,127200,0,0,0,OK
3.239804,HuntingdonAssasins_271828,Tick,0,0,0,0,127400,127200,0,0,0,OK
3.494205,Sunday_1729,Tick,0,0,0,0,127600,127200,0,0,0,OK
3.494205,tangilo_330,Tick,0,80,-80,64,127600,127200,469,2024031,-31489,OK
3.494205,BavarianBourseBandits_219000,Tick,0,48,-48,48,127600,127200,-609,-791,-12983,OK
3.494205,AVTraders_2004,Tick,50,57,-7,7,127600,127200,925,-6525,-8303,OK
3.494205,day_day_up_123321,Tick,30,0,30,-30,127600,127200,762,538,8158,OK
3.494205,JeanJacquesPidjacques_120302,Tick,0,0,0,0,127600,127200,0,0,0,OK
3.494205,HuntingdonAssasins_271828,Tick,0,0,0,0,127600,127200,0,0,0,OK
3.713863,Sunday_1729,Tick,0,0,0,0,127600,127400,0,0,0,OK
3.713863,tangilo_330,Tick,0,80,-80,64,127600,127400,469,2024031,-30369,OK
3.713863,BavarianBourseBandits_219000,Tick,0,48,-48,48,127600,127400,-609,-791,-10391,OK
3.713863,AVTraders_2004,Tick,50,57,-7,7,127600,127400,925,-6525,-7925,OK
3.713863,day_day_up_123321,Tick,30,0,30,-30,127600,127400,762,538,6538,OK
3.713863,JeanJacquesPidjacques_120302,Tick,0,0,0,0,127600,127400,0,0,0,OK
3.713863,HuntingdonAssasins_271828,Tick,0,0,0,0,127600,127400,0,0,0,OK
4.047554,Sunday_1729,Tick,0,0,0,0,127600,127400,0,0,0,OK
4.047554,tangilo_330,Tick,0,80,-80,64,127600,127400,469,2024031,-30369,OK
4.047554,BavarianBourseBandits_219000,Tick,0,48,-48,48,127600,127400,-609,-791,-10391,OK
