Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
3e-06,JianJianShiMian_233333,Tick,0,0,0,0,,,0,0,0,OK
3e-06,DanielTrading_0,Tick,0,0,0,0,,,0,0,0,OK
3e-06,Fortunavincit_201711,Tick,0,0,0,0,,,0,0,0,OK
3e-06,Trinity_112003,Tick,0,0,0,0,,,0,0,0,OK
3e-06,Khang_2605,Tick,0,0,0,0,,,0,0,0,OK
3e-06,AGGATraders_26,Tick,0,0,0,0,,,0,0,0,OK
3e-06,WWW_114514,Tick,0,0,0,0,,,0,0,0,OK
0.254145,JianJianShiMian_233333,Tick,0,0,0,0,126400,,0,0,0,OK
0.254145,DanielTrading_0,Tick,10,0,10,-10,126400,,252,-252,-252,OK
0.254145,Fortunavincit_201711,Tick,0,1,-1,1,126400,,-13,-87,-87,OK
0.254145,Trinity_112003,Tick,10,10,0,0,126400,,-252,252,252,OK
0.254145,Khang_2605,Tick,0,10,-10,10,126400,,252,-2252,-2252,OK
0.254145,AGGATraders_26,Tick,10,10,0,0,126400,,127,-4127,-4127,OK
0.254145,WWW_114514,Tick,0,0,0,0,126400,,0,0,0,OK
0.497349,JianJianShiMian_233333,Tick,0,0,0,0,126600,,0,0,0,OK
0.497349,DanielTrading_0,Tick,10,10,0,0,126600,,125,-1125,-1125,OK
0.497349,Fortunavincit_201711,Tick,0,20,-20,20,126600,,-254,254,254,OK
0.497349,Trinity_112003,Tick,20,20,0,0,126600,,-504,504,504,OK
0.497349,Khang_2605,Tick,0,10,-10,10,126600,,252,-2252,-2252,OK
0.497349,AGGATraders_26,Tick,20,20,0,0,126600,,633,-7633,-7633,OK
0.497349,WWW_114514,Tick,0,0,0,0,126600,,0,0,0,OK
0.717191,JianJianShiMian_233333,Tick,0,0,0,0,126600,,0,0,0,OK
0.717191,DanielTrading_0,Tick,10,20,-10,10,126600,,378,-1378,-1378,OK
0.717191,Fortunavincit_201711,Tick,0,20,-20,20,126600,,-254,254,254,OK
0.717191,Trinity_112003,Tick,20,30,-10,10,126600,,-251,251,251,OK
0.717191,Khang_2605,Tick,0,10,-10,10,126600,,252,-2252,-2252,OK
0.717191,AGGATraders_26,Tick,20,20,0,0,126600,,633,-7633,-7633,OK
0.717191,WWW_114514,Tick,0,60,-60,60,126600,,1519,-1519,-1519,OK
1.050245,JianJianShiMian_233333,Tick,0,0,0,0,126600,,0,0,0,OK
1.050245,DanielTrading_0,Tick,10,20,-10,10,126600,,378,-1378,-1378,OK
1.050245,Fortunavincit_201711,Tick,0,20,-20,20,126600,,-254,254,254,OK
1.050245,Trinity_112003,Tick,20,30,-10,10,126600,,-251,251,251,OK
1.050245,Khang_2605,Tick,0,10,-10,10,126600,,252,-2252,-2252,OK
1.050245,AGGATraders_26,Tick,20,20,0,0,126600,,633,-7633,-7633,OK
1.050245,WWW_114514,Tick,0,60,-60,60,126600,,1519,-1519,-1519,OK
1.207187,JianJianShiMian_233333,Tick,0,0,0,0,126700,126700,0,0,0,OK
1.207187,DanielTrading_0,Tick,10,30,-20,20,126700,126700,251,-251,-251,OK
1.207187,Fortunavincit_201711,Tick,0,20,-20,20,126700,126700,-254,254,254,OK
1.207187,Trinity_112003,Tick,20,30,-10,10,126700,126700,-251,251,251,OK
1.207187,Khang_2605,Tick,10,10,0,0,126700,126700,505,-4505,-4505,OK
1.207187,AGGATraders_26,Tick,20,20,0,0,126700,126700,633,-7633,-7633,OK
1.207187,WWW_114514,Tick,0,60,-60,60,126700,126700,1519,-1519,-1519,OK
1.5215,JianJianShiMian_233333,Tick,0,0,0,0,126800,126800,0,0,0,OK
1.5215,DanielTrading_0,Tick,20,30,-10,10,126800,126800,504,-504,-504,OK
1.5215,Fortunavincit_201711,Tick,0,20,-20,20,126800,126800,-254,254,254,OK
1.5215,Trinity_112003,Tick,30,40,-10,10,126800,126800,-124,-1876,-1876,OK
1.5215,Khang_2605,Tick,10,20,-10,10,126800,126800,378,-4378,-4378,OK
1.5215,AGGATraders_26,Tick,20,20,0,0,126800,126800,633,-7633,-7633,OK
1.5215,WWW_114514,Tick,0,60,-60,60,126800,126800,1519,-1519,-1519,OK
1.792996,JianJianShiMian_233333,Tick,0,0,0,0,127000,126800,0,0,0,OK
1.792996,DanielTrading_0,Tick,30,40,-10,10,127000,126800,631,-1631,-3631,OK
1.792996,Fortunavincit_201711,Tick,10,20,-10,10,127000,126800,-1,4001,2001,OK
1.792996,Trinity_112003,Tick,40,40,0,0,127000,126800,130,-1130,-1130,OK
1.792996,Khang_2605,Tick,10,30,-20,20,127000,126800,251,-6251,-10251,OK
1.792996,AGGATraders_26,Tick,20,30,-10,10,127000,126800,506,-12506,-14506,OK
1.792996,WWW_114514,Tick,0,60,-60,60,127000,126800,1519,-1519,-13519,OK
2.025077,JianJianShiMian_233333,Tick,0,0,0,0,127100,126800,0,0,0,OK
2.025077,DanielTrading_0,Tick,40,40,0,0,127100,126800,885,-2885,-2885,OK
2.025077,Fortunavincit_201711,Tick,10,20,-10,10,127100,126800,-1,4001,1461,OK
2.025077,Trinity_112003,Tick,40,40,0,0,127100,126800,130,-1130,-1130,OK
2.025077,Khang_2605,Tick,10,40,-30,30,127100,126800,124,-7124,-14744,OK
2.025077,AGGATraders_26,Tick,20,30,-10,10,127100,126800,506,-12506,-15046,OK
2.025077,WWW_114514,Tick,0,60,-60,60,127100,126800,1519,-1519,-16759,OK
2.294733,JianJianShiMian_233333,Tick,0,0,0,0,127100,126800,0,0,0,OK
2.294733,DanielTrading_0,Tick,40,40,0,0,127100,126800,885,-2885,-2885,OK
2.294733,Fortunavincit_201711,Tick,10,20,-10,10,127100,126800,-1,4001,1461,OK
2.294733,Trinity_112003,Tick,40,40,0,0,127100,126800,130,-1130,-1130,OK
2.294733,Khang_2605,Tick,10,40,-30,30,127100,126800,124,-7124,-14744,OK
2.294733,AGGATraders_26,Tick,20,30,-10,10,127100,126800,506,-12506,-15046,OK
2.294733,WWW_114514,Tick,0,60,-60,60,127100,126800,1519,-1519,-16759,OK
2.511059,JianJianShiMian_233333,Tick,0,0,0,0,127100,126800,0,0,0,OK
2.511059,DanielTrading_0,Tick,40,40,0,0,127100,126800,885,-2885,-2885,OK
2.511059,Fortunavincit_201711,Tick,10,20,-10,10,127100,126800,-1,4001,1461,OK
2.511059,Trinity_112003,Tick,40,40,0,0,127100,126800,130,-1130,-1130,OK
2.511059,Khang_2605,Tick,10,40,-30,30,127100,126800,124,-7124,-14744,OK
2.511059,AGGATraders_26,Tick,20,30,-10,10,127100,126800,506,-12506,-15046,OK
2.511059,WWW_114514,Tick,0,60,-60,60,127100,126800,1519,-1519,-16759,OK
2.752879,JianJianShiMian_233333,Tick,0,0,0,0,127400,126800,0,0,0,OK
2.752879,DanielTrading_0,Tick,40,50,-10,10,127400,126800,758,-2758,-5298,OK
2.752879,Fortunavincit_201711,Tick,10,30,-20,20,127400,126800,-128,4128,-952,OK
