Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
1.9e-05,new_autotrader,Tick,0,0,0,0,,,0,0,0,OK
0.259453,new_autotrader,Tick,0,0,0,0,,,0,0,0,OK
0.502666,new_autotrader,Tick,0,0,0,0,,,0,0,0,OK
0.737763,new_autotrader,Tick,0,0,0,0,,,0,0,0,OK
1.056096,new_autotrader,Tick,0,0,0,0,,140400,0,0,0,OK
1.257033,new_autotrader,Tick,0,0,0,0,,140400,0,0,0,OK
1.547373,new_autotrader,Tick,0,0,0,0,,140400,0,0,0,OK
1.714448,new_autotrader,Tick,0,0,0,0,,140400,0,0,0,OK
2.013912,new_autotrader,Tick,0,10,-10,10,141000,140400,-140,-860,-2860,OK
2.211838,new_autotrader,Tick,0,10,-10,10,141000,140400,-140,-860,-2860,OK
2.501462,new_autotrader,Tick,0,10,-10,10,141000,140600,-140,-860,-2860,OK
2.773772,new_autotrader,Tick,0,10,-10,10,141100,140600,-140,-860,-2860,OK
3.002348,new_autotrader,Tick,0,10,-10,10,141100,140600,-140,-860,-2860,OK
3.270111,new_autotrader,Tick,0,10,-10,10,141100,140600,-140,-860,-2860,OK
3.473382,new_autotrader,Tick,0,10,-10,10,141100,140600,-140,-860,-2860,OK
3.795495,new_autotrader,Tick,0,10,-10,10,141100,140600,-140,-860,-2860,OK
4.047405,new_autotrader,Tick,0,10,-10,10,141100,140600,-140,-860,-2860,OK
4.28741,new_autotrader,Tick,0,10,-10,10,141200,140600,-140,-860,-2860,OK
4.537424,new_autotrader,Tick,0,10,-10,10,141200,140500,-140,-860,-2860,OK
4.735261,new_autotrader,Tick,0,10,-10,10,141200,140500,-140,-860,-2860,OK
4.999557,new_autotrader,Tick,0,10,-10,10,139900,140400,-140,-860,1140,OK
5.217604,new_autotrader,Tick,0,10,-10,10,139900,140400,-140,-860,1140,OK
5.50155,new_autotrader,Tick,3,10,-7,7,140200,140400,-182,-818,582,OK
5.756663,new_autotrader,Tick,3,10,-7,7,140200,140400,-182,-818,582,OK
5.974399,new_autotrader,Tick,3,10,-7,7,140200,140400,-182,-818,582,OK
6.24936,new_autotrader,Tick,3,10,-7,7,140900,140400,-182,-818,-2218,OK
6.524255,new_autotrader,Tick,3,10,-7,7,140900,140400,-182,-818,-2218,OK
6.714398,new_autotrader,Tick,3,10,-7,7,140900,140400,-182,-818,-2218,OK
7.015625,new_autotrader,Tick,3,10,-7,7,140600,140400,-182,-818,-2218,OK
7.280991,new_autotrader,Tick,3,10,-7,7,140600,140400,-182,-818,-2218,OK
7.472622,new_autotrader,Tick,3,10,-7,7,140600,140400,-182,-818,-2218,OK
7.801207,new_autotrader,Tick,3,10,-7,7,139800,140400,-182,-818,582,OK
8.010692,new_autotrader,Tick,13,10,3,-3,139900,140400,98,2902,2302,OK
8.306247,new_autotrader,Tick,13,10,3,-3,139900,140400,98,2902,2302,OK
8.521135,new_autotrader,Tick,13,10,3,-3,139900,140400,98,2902,2302,OK
8.788462,new_autotrader,Tick,13,10,3,-3,139900,140400,98,2902,2302,OK
9.041683,new_autotrader,Tick,13,10,3,-3,139900,140400,98,2902,2302,OK
9.260916,new_autotrader,Tick,13,10,3,-3,139900,140400,98,2902,2302,OK
9.539482,new_autotrader,Tick,13,10,3,-3,140300,140400,98,2902,2602,OK
9.714614,new_autotrader,Tick,13,10,3,-3,140300,140400,98,2902,2602,OK
9.983764,new_autotrader,Tick,13,10,3,-3,140300,140400,98,2902,2602,OK
10.230772,new_autotrader,Tick,13,10,3,-3,140300,140400,98,2902,2602,OK
10.492975,new_autotrader,Tick,13,20,-7,7,140400,140500,-42,2042,2742,OK
10.779767,new_autotrader,Tick,13,20,-7,7,140400,140500,-42,2042,2742,OK
10.997521,new_autotrader,Tick,13,20,-7,7,140400,140500,-42,2042,2742,OK
11.290687,new_autotrader,Tick,13,20,-7,7,140400,140500,-42,2042,2742,OK
11.510086,new_autotrader,Tick,13,20,-7,7,140400,140500,-42,2042,2742,OK
11.761939,new_autotrader,Tick,13,20,-7,7,140400,140500,-42,2042,2742,OK
12.012564,new_autotrader,Tick,13,20,-7,7,140400,140500,-42,2042,2742,OK
12.234293,new_autotrader,Tick,13,20,-7,7,140400,140500,-42,2042,2742,OK
12.552155,new_autotrader,Tick,13,20,-7,7,140900,140500,-42,2042,642,OK
12.703986,new_autotrader,Tick,13,26,-13,13,141000,140500,-127,4527,1927,OK
12.991488,new_autotrader,Tick,23,26,-3,3,140000,140500,-267,6667,7267,OK
13.263457,new_autotrader,Tick,23,26,-3,3,140000,140500,-267,6667,7267,OK
13.51489,new_autotrader,Tick,23,26,-3,3,140100,140500,-267,6667,7267,OK
13.778941,new_autotrader,Tick,23,26,-3,3,141300,140400,-267,6667,6067,OK
14.034423,new_autotrader,Tick,23,26,-3,3,141300,140400,-267,6667,6067,OK
14.206773,new_autotrader,Tick,23,26,-3,3,141300,140400,-267,6667,6067,OK
14.500878,new_autotrader,Tick,23,26,-3,3,141300,140400,-267,6667,6067,OK
14.717451,new_autotrader,Tick,23,26,-3,3,141300,140400,-267,6667,6067,OK
15.020796,new_autotrader,Tick,23,26,-3,3,141100,140400,-267,6667,6067,OK
15.255885,new_autotrader,Tick,23,26,-3,3,141100,140400,-267,6667,6067,OK
15.486149,new_autotrader,Tick,23,26,-3,3,140400,140400,-267,6667,6667,OK
15.800319,new_autotrader,Tick,23,26,-3,3,140400,140400,-267,6667,6667,OK
16.019671,new_autotrader,Tick,23,26,-3,3,140400,140400,-267,6667,6667,OK
16.303741,new_autotrader,Tick,23,26,-3,3,140400,140400,-267,6667,6667,OK
16.487396,new_autotrader,Tick,23,26,-3,3,140400,140400,-267,6667,6667,OK
16.802142,new_autotrader,Tick,23,26,-3,3,140400,140400,-267,6667,6667,OK
16.96627,new_autotrader,Tick,23,26,-3,3,140400,140400,-267,6667,6667,OK
17.218884,new_autotrader,Tick,23,26,-3,3,140400,140400,-267,6667,6667,OK
17.512859,new_autotrader,Tick,23,26,-3,3,140400,140400,-267,6667,6667,OK
17.758189,new_autotrader,Tick,23,26,-3,3,140400,140400,-267,6667,6667,OK
17.978692,new_autotrader,Tick,23,26,-3,3,140400,140400,-267,6667,6667,OK
18.221762,new_autotrader,Tick,23,26,-3,3,140100,140400,-267,6667,7267,OK
18.520446,new_autotrader,Tick,23,26,-3,3,140100,140300,-267,6667,7267,OK
18.711147,new_autotrader,Tick,23,26,-3,3,140100,140300,-267,6667,7267,OK
18.976282,new_autotrader,Tick,23,26,-3,3,140100,140300,-267,6667,7267,OK
19.303957,new_autotrader,Tick,23,26,-3,3,140100,140300,-267,6667,7267,OK
19.501401,new_autotrader,Tick,23,26,-3,3,140100,140300,-267,6667,7267,OK
19.806301,new_autotrader,Tick,23,26,-3,3,140200,140300,-267,6667,6967,OK
19.963744,new_autotrader,Tick,23,26,-3,3,140200,140300,-267,6667,6967,OK
20.289184,new_autotrader,Tick,23,26,-3,3,140100,140300,-267,6667,7267,OK
20.487395,new_autotrader,Tick,23,26,-3,3,140200,140500,-267,6667,7267,OK
20.765072,new_autotrader,Tick,23,26,-3,3,140200,140500,-267,6667,7267,OK
21.051736,new_autotrader,Tick,23,26,-3,3,140200,140500,-267,6667,7267,OK
21.294554,new_autotrader,Tick,23,26,-3,3,140200,140500,-267,6667,7267,OK
21.46809,new_autotrader,Tick,23,26,-3,3,140200,140300,-267,6667,6967,OK
21.752112,new_autotrader,Tick,23,26,-3,3,140200,140300,-267,6667,6967,OK
21.988072,new_autotrader,Tick,23,26,-3,3,140200,140300,-267,6667,6967,OK
22.2102,new_autotrader,Tick,23,26,-3,3,140200,140100,-267,6667,6367,OK
22.481698,new_autotrader,Tick,33,26,7,-7,139900,140100,-407,5807,4407,OK
22.74584,new_autotrader,Tick,33,26,7,-7,139900,140000,-407,5807,5107,OK
22.983609,new_autotrader,Tick,33,26,7,-7,139900,140000,-407,5807,5107,OK
23.261913,new_autotrader,Tick,33,26,7,-7,139900,139800,-407,5807,6507,OK
23.481386,new_autotrader,Tick,33,26,7,-7,139900,139800,-407,5807,6507,OK
23.761135,new_autotrader,Tick,33,26,7,-7,139900,139800,-407,5807,6507,OK
23.980643,new_autotrader,Tick,33,26,7,-7,140200,139800,-407,5807,7207,OK
24.263808,new_autotrader,Tick,33,26,7,-7,140200,139800,-407,5807,7207,OK
24.511426,new_autotrader,Tick,33,26,7,-7,140200,139800,-407,5807,7207,OK
24.759802,new_autotrader,Tick,33,26,7,-7,140200,139800,-407,5807,7207,OK
25.037311,new_autotrader,Tick,33,26,7,-7,140200,139800,-407,5807,7207,OK
25.236339,new_autotrader,Tick,33,26,7,-7,140200,139800,-407,5807,7207,OK
25.517189,new_autotrader,Tick,33,26,7,-7,140200,139800,-407,5807,7207,OK
25.796058,new_autotrader,Tick,33,26,7,-7,140200,139800,-407,5807,7207,OK
26.04948,new_autotrader,Tick,33,26,7,-7,140200,139800,-407,5807,7207,OK
26.25687,new_autotrader,Tick,33,26,7,-7,140200,139800,-407,5807,7207,OK
26.498495,new_autotrader,Tick,33,26,7,-7,140200,139800,-407,5807,7207,OK
26.749673,new_autotrader,Tick,33,26,7,-7,140400,139800,-407,5807,7207,OK
26.960457,new_autotrader,Tick,33,26,7,-7,140400,139800,-407,5807,7207,OK
27.297063,new_autotrader,Tick,33,26,7,-7,139900,139800,-407,5807,6507,OK
27.490084,new_autotrader,Tick,33,26,7,-7,139900,139800,-407,5807,6507,OK
27.745966,new_autotrader,Tick,33,26,7,-7,139900,139700,-407,5807,7207,OK
28.053661,new_autotrader,Tick,33,26,7,-7,139900,139800,-407,5807,6507,OK
28.25709,new_autotrader,Tick,33,26,7,-7,139900,139800,-407,5807,6507,OK
28.465865,new_autotrader,Tick,33,26,7,-7,139900,139800,-407,5807,6507,OK
28.739563,new_autotrader,Tick,33,26,7,-7,139900,139800,-407,5807,6507,OK
29.052219,new_autotrader,Tick,33,26,7,-7,139900,139800,-407,5807,6507,OK
29.283243,new_autotrader,Tick,33,26,7,-7,140200,139800,-407,5807,7207,OK
29.511527,new_autotrader,Tick,33,26,7,-7,140200,140000,-407,5807,7207,OK
29.766947,new_autotrader,Tick,33,31,2,-2,140200,140000,-477,6377,6777,OK
29.990135,new_autotrader,Tick,33,31,2,-2,140200,140000,-477,6377,6777,OK
30.309155,new_autotrader,Tick,33,31,2,-2,140200,140000,-477,6377,6777,OK
30.551263,new_autotrader,Tick,33,31,2,-2,140200,140000,-477,6377,6777,OK
30.777359,new_autotrader,Tick,33,31,2,-2,140200,140000,-477,6377,6777,OK
30.969021,new_autotrader,Tick,33,31,2,-2,139900,140000,-477,6377,6177,OK
31.27833,new_autotrader,Tick,33,31,2,-2,139900,140000,-477,6377,6177,OK
31.544019,new_autotrader,Tick,33,31,2,-2,139900,140000,-477,6377,6177,OK
31.735379,new_autotrader,Tick,33,31,2,-2,139900,140000,-477,6377,6177,OK
32.011052,new_autotrader,Tick,33,31,2,-2,139900,140000,-477,6377,6177,OK
32.267228,new_autotrader,Tick,33,31,2,-2,139900,140100,-477,6377,5977,OK
32.452237,new_autotrader,Tick,33,31,2,-2,139900,140100,-477,6377,5977,OK
32.79255,new_autotrader,Tick,33,31,2,-2,139900,140100,-477,6377,5977,OK
33.007134,new_autotrader,Tick,33,31,2,-2,139900,140100,-477,6377,5977,OK
33.245017,new_autotrader,Tick,33,31,2,-2,139800,140200,-477,6377,5977,OK
33.5378,new_autotrader,Tick,33,31,2,-2,139800,140200,-477,6377,5977,OK
33.743245,new_autotrader,Tick,33,31,2,-2,139800,140200,-477,6377,5977,OK
34.00855,new_autotrader,Tick,33,31,2,-2,139800,140200,-477,6377,5977,OK
34.304913,new_autotrader,Tick,33,31,2,-2,139800,140300,-477,6377,5977,OK
34.469587,new_autotrader,Tick,33,31,2,-2,140200,140300,-477,6377,6177,OK
34.772012,new_autotrader,Tick,33,31,2,-2,140300,140700,-477,6377,5977,OK
34.958719,new_autotrader,Tick,33,31,2,-2,140300,140700,-477,6377,5977,OK
